time	V(vo)
4.196399542414727e-03	1.147450e+01
4.196399567918766e-03	1.147450e+01
4.196399601690421e-03	1.147450e+01
4.196399636153286e-03	1.147450e+01
4.196399705079016e-03	1.147450e+01
4.196399812180891e-03	1.147450e+01
4.196400026384641e-03	1.147450e+01
4.196400263121252e-03	1.147450e+01
4.196400736594471e-03	1.147451e+01
4.196401354891285e-03	1.147451e+01
4.196402591484911e-03	1.147451e+01
4.196404089543174e-03	1.147452e+01
4.196407085659702e-03	1.147454e+01
4.196410912383152e-03	1.147456e+01
4.196416437086150e-03	1.147458e+01
4.196421638454478e-03	1.147461e+01
4.196430614000246e-03	1.147466e+01
4.196440600412197e-03	1.147471e+01
4.196455186126601e-03	1.147478e+01
4.196484357555410e-03	1.147492e+01
4.196494533419516e-03	1.147497e+01
4.196501423640681e-03	1.147501e+01
4.196507688299526e-03	1.147504e+01
4.196513171324086e-03	1.147507e+01
4.196518890615362e-03	1.147510e+01
4.196528100367447e-03	1.147514e+01
4.196546439792139e-03	1.147523e+01
4.196567975625873e-03	1.147534e+01
4.196592179117279e-03	1.147546e+01
4.196621499272543e-03	1.147560e+01
4.196663448680871e-03	1.147580e+01
4.196730165854210e-03	1.147612e+01
4.196847176862403e-03	1.147667e+01
4.197081198878790e-03	1.147773e+01
4.197429565722144e-03	1.147923e+01
4.197816694604849e-03	1.148078e+01
4.198304009486873e-03	1.148256e+01
4.198889706986998e-03	1.148450e+01
4.198992701798807e-03	1.148481e+01
4.199198691422426e-03	1.148538e+01
4.199610670669662e-03	1.148643e+01
4.199829277255149e-03	1.148695e+01
4.200074473806203e-03	1.148748e+01
4.200112745259460e-03	1.148755e+01
4.200181245277846e-03	1.148769e+01
4.200181612798846e-03	1.148769e+01
4.200182347840847e-03	1.148769e+01
4.200183817924847e-03	1.148769e+01
4.200184444402346e-03	1.148769e+01
4.200184739922063e-03	1.148769e+01
4.200184908221082e-03	1.148770e+01
4.200185127346483e-03	1.148770e+01
4.200185432743341e-03	1.148770e+01
4.200185926282079e-03	1.148770e+01
4.200186590741913e-03	1.148770e+01
4.200187919661580e-03	1.148770e+01
4.200190267467274e-03	1.148771e+01
4.200194963078664e-03	1.148771e+01
4.200200045076371e-03	1.148772e+01
4.200206537942337e-03	1.148774e+01
4.200214471853282e-03	1.148775e+01
4.200229787111702e-03	1.148778e+01
4.200244640593196e-03	1.148781e+01
4.200271007069566e-03	1.148786e+01
4.200274860601034e-03	1.148787e+01
4.200282567663967e-03	1.148788e+01
4.200284494429700e-03	1.148788e+01
4.200285096543991e-03	1.148788e+01
4.200285337389708e-03	1.148789e+01
4.200285397601138e-03	1.148789e+01
4.200285412653995e-03	1.148789e+01
4.200285416417210e-03	1.148789e+01
4.200285423943638e-03	1.148789e+01
4.200285437430529e-03	1.148789e+01
4.200285451588034e-03	1.148789e+01
4.200285470984540e-03	1.148789e+01
4.200285509777552e-03	1.148789e+01
4.200285587363577e-03	1.148789e+01
4.200285742535627e-03	1.148789e+01
4.200286052879726e-03	1.148789e+01
4.200286673567924e-03	1.148789e+01
4.200287914944320e-03	1.148789e+01
4.200290397697113e-03	1.148790e+01
4.200295363202699e-03	1.148790e+01
4.200301283068939e-03	1.148792e+01
4.200309018184308e-03	1.148793e+01
4.200319462683349e-03	1.148795e+01
4.200340351681432e-03	1.148799e+01
4.200359910793881e-03	1.148802e+01
4.200387636020251e-03	1.148807e+01
4.200417467133756e-03	1.148812e+01
4.200470176279759e-03	1.148821e+01
4.200542068070163e-03	1.148833e+01
4.200877992197067e-03	1.148882e+01
4.201213916323972e-03	1.148922e+01
4.201549840450876e-03	1.148953e+01
4.201885764577781e-03	1.148975e+01
4.202221688704685e-03	1.148988e+01
4.202557612831590e-03	1.148992e+01
4.202893536958494e-03	1.148987e+01
4.203267689503740e-03	1.148975e+01
4.203361227640051e-03	1.148969e+01
4.203548303912674e-03	1.148955e+01
4.203758311785417e-03	1.148937e+01
4.203837543491456e-03	1.148929e+01
4.203960106400823e-03	1.148915e+01
4.203963631533041e-03	1.148915e+01
4.203965041585929e-03	1.148915e+01
4.203967861691704e-03	1.148914e+01
4.203967949820009e-03	1.148914e+01
4.203968126076620e-03	1.148914e+01
4.203968254735336e-03	1.148914e+01
4.203968343735653e-03	1.148914e+01
4.203968460536565e-03	1.148914e+01
4.203968694138391e-03	1.148914e+01
4.203969161342041e-03	1.148914e+01
4.203969641458503e-03	1.148914e+01
4.203970601691425e-03	1.148914e+01
4.203972522157269e-03	1.148914e+01
4.203975453688487e-03	1.148913e+01
4.203979192784165e-03	1.148913e+01
4.203984672924034e-03	1.148912e+01
4.203990418282002e-03	1.148912e+01
4.203999422110538e-03	1.148911e+01
